Trainer,Multi?,Route,Combined Name,Pokemon 1,Move 1,Move 2,Move 3,Move 4,Pokemon 2,Move 1,Move 2,Move 3,Move 4,Pokemon 3,Move 1,Move 2,Move 3,Move 4,Pokemon 4,Move 1,Move 2,Move 3,Move 4,Pokemon 5,Move 1,Move 2,Move 3,Move 4,Pokemon 6,Move 1,Move 2,Move 3,Move 4,Double?,P1 Item,P1 Nature,P1 IV,P1 Lvl,P2 Item,P2 Nature,P2 IV,P2 Lvl,P3 Item,P3 Nature,P3 IV,P3 Lvl,P4 Item,P4 Nature,P4 IV,P4 Lvl,P5 Item,P5 Nature,P5 IV,P5 Lvl,P6 Item,P6 Nature,P6 IV,P6 Lvl
Guitarist Marcos,FALSE,Route 103,Guitarist Marcos - Route 103,Voltorb,Shock Wave,Thunder Wave,Return,Sonicboom,Lombre,Teeter Dance,Mega Drain,Fake Out,Water Pulse,Whismur,Hyper Voice,Teeter Dance,Water Pulse,Extrasensory,,,,,,,,,,,,,,,,FALSE,Silk Scarf,Relaxed,31,17,,Adamant,24,16,Silk Scarf,Mild,31,17,,,,,,,,,,,,
Twins Amy & Liv,FALSE,Route 103,Twins Amy & Liv - Route 103,Volbeat,Giga Drain,Silver Wind,Moonlight,Confuse Ray,Illumise,Silver Wind,Giga Drain,Water Pulse,Flatter,Plusle,Signal Beam,Return,Shock Wave,Brick Break,Minun,Shock Wave,Helping Hand,Thunder Wave,Protect,,,,,,,,,,,TRUE,,Timid,20,17,,Gentle,20,17,,Timid,20,17,,Hardy,20,17,,,,,,,,
Pokéfan Miguel,FALSE,Route 103,Pokéfan Miguel - Route 103,Spheal,Attract,Aurora Beam,Water Pulse,Secret Power,Flaaffy,Attract,Thunder Wave,Shock Wave,Seismic Toss,Spoink,Attract,Psybeam,Return,Shadow Ball,Wigglytuff,Present,Attract,Thunder Wave,Water Pulse,,,,,,,,,,,FALSE,Sitrus Berry,Gentle,31,17,,Careful,24,17,Twistedspoon,Gentle,31,17,,Calm,31,17,,,,,,,,
Fisherman Andrew,FALSE,Route 103,Fisherman Andrew - Route 103,Gyarados,Thrash,Dragon Rage,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Modest,0,20,,,,,,,,,,,,,,,,,,,,
Pkmn Trainer May,FALSE,Route 110,Pkmn Trainer May - Route 110,Minun,Thunderbolt,Attract,Thunder Wave,Signal Beam,Pidgeotto,Aerial Ace,Quick Attack,Secret Power,Steel Wing,Nidorina,Drill Run,Sludge Bomb,Shadow Ball,Water Pulse,Bayleef,Giga Drain,Attract,Synthesis,Body Slam,Wartortle,Fake Out,Water Pulse,Ice Punch,Body Slam,Combusken,Bulk Up,Fire Punch,Quick Attack,Brick Break,FALSE,,Impish,31,22,,Hardy,31,24,,Naive,31,24,,Rash,31,24,,Hardy,31,25,,Hardy,31,26
Triathlete Alyssa,FALSE,Route 110,Triathlete Alyssa - Route 110,Staryu,Bubblebeam,Recover,Tri Attack,Signal Beam,Magnemite,Tri Attack,Flash Cannon,Shock Wave,Thunder Wave,Doduo,Tri Attack,Quick Attack,Drill Peck,Steel Wing,,,,,,,,,,,,,,,,FALSE,Silk Scarf,Careful,31,20,Metal Coat,Sassy,31,20,Silk Scarf,Naive,31,20,,,,,,,,,,,,
Fisherman Dale,FALSE,Route 110,Fisherman Dale - Route 110,Luvdisc,Attract,Sweet Kiss,Surf,,Slowpoke,Earthquake,Thunder Wave,Water Pulse,,,,,,,,,,,,,,,,,,,,,,FALSE,,Lax,18,24,,Naughty,18,24,,,,,,,,,,,,,,,,
Pkmn Trainer Wally,FALSE,Mauville City,Pkmn Trainer Wally - Mauville City,Ralts,Pain Split,Teleport,Encore,Will-O-Wisp,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Oran Berry,Naughty,0,70,,,,,,,,,,,,,,,,,,,,
Triathlete Melina,FALSE,Route 117,Triathlete Melina - Route 117,Ponyta,Agility,Baton Pass,Flamethrower,Iron Tail,Girafarig,Agility,Stomp,Psybeam,Baton Pass,Flaaffy,Agility,Thunderpunch,Fire Punch,Seismic Toss,,,,,,,,,,,,,,,,FALSE,Lum Berry,Relaxed,31,21,Cheri Berry,Brave,31,20,Lum Berry,Lonely,31,21,,,,,,,,,,,,
Triathlete Dylan,FALSE,Route 117,Triathlete Dylan - Route 117,Hitmontop,Agility,Rolling Kick,Fake Out,Secret Power,Mantine,Agility,Bubblebeam,Air Slash,Aurora Beam,Magnemite,Agility,Wild Charge,Sonicboom,Flash Cannon,,,,,,,,,,,,,,,,FALSE,Cheri Berry,Lonely,0,20,Cheri Berry,Timid,31,20,Metal Coat,Quiet,31,21,,,,,,,,,,,,
Sr. and Jr. Anna & Meg,FALSE,Route 117,Sr. and Jr. Anna & Meg - Route 117,Gligar,Magnitude,,,,Gastly,Shadow Ball,Sludge Bomb,Shadow Sneak,Night Shade,Noctowl,Reflect,Hypnosis,Aerial Ace,Secret Power,Baltoy,Earthquake,,,,,,,,,,,,,,TRUE,Choice Band,Timid,31,21,Spell Tag,Sassy,31,22,Leftovers,Impish,31,20,Choice Band,Mild,31,22,,,,,,,,
Battle Girl Aisha,FALSE,Route 117,Battle Girl Aisha - Route 117,Meowth,Fake Out,Assist,Slash,Water Pulse,Meditite,Fake Out,Rock Smash,Secret Power,Rock Tomb,Delcatty,Assist,Secret Power,Attract,Thunder Wave,,,,,,,,,,,,,,,,FALSE,Silk Scarf,Adamant,31,22,Black Belt,Hardy,31,22,Sitrus Berry,Hardy,31,22,,,,,,,,,,,,
Pkmn Breeder Lydia,FALSE,Route 117,Pkmn Breeder Lydia - Route 117,Gloom,Sleep Powder,Sludge Bomb,Razor Leaf,Moonlight,Azumarill,Water Pulse,Rollout,Ice Punch,Belly Drum,Chansey,Double-Edge,Brick Break,Softboiled,Water Pulse,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Impish,31,22,Sitrus Berry,Mild,24,21,Lucky Punch,Naive,31,22,,,,,,,,,,,,
Pkmn Breeder Isaac,FALSE,Route 117,Pkmn Breeder Isaac - Route 117,Cubone,Bone Rush,Double-Edge,Aerial Ace,Rock Tomb,Weepinbell,Razor Leaf,Sludge Bomb,Secret Power,Stun Spore,Ditto,Transform,,,,,,,,,,,,,,,,,,,FALSE,Thick Club,Calm,31,23,Silk Scarf,Lonely,31,23,Leppa Berry,Quiet,0,20,,,,,,,,,,,,
Psychic Brandi,FALSE,Route 117,Psychic Brandi - Route 117,Unown,Hidden Power,,,,Kirlia,Psybeam,Magical Leaf,Shock Wave,Hypnosis,Chimecho,Recover,Psybeam,Secret Power,Thunder Wave,,,,,,,,,,,,,,,,FALSE,Choice Band,Hardy,29,23,Cheri Berry,Gentle,31,23,,Quiet,31,22,,,,,,,,,,,,
Triathlete Maria,FALSE,Route 117,Triathlete Maria - Route 117,Rhyhorn,Rock Slide,Earthquake,Megahorn,Endure,Seel,Ice Shard,Waterfall,Body Slam,Aurora Beam,Linoone,Swift,Rock Smash,Mud-Slap,Snore,,,,,,,,,,,,,,,,FALSE,Salac Berry,Hardy,31,24,Nevermeltice,Quiet,31,24,Leftovers,Modest,31,22,,,,,,,,,,,,
Bug Maniac Derek,FALSE,Route 117,Bug Maniac Derek - Route 117,Pineco,Signal Beam,Selfdestruct,Giga Drain,Spikes,Masquerain,Water Pulse,Aurora Beam,Giga Drain,Mud Shot,Ariados,Giga Drain,Sludge Bomb,Shadow Sneak,Signal Beam,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Quiet,31,23,Sitrus Berry,Careful,31,23,Leftovers,Hardy,31,23,,,,,,,,,,,,
Lady Vivian,FALSE,Mauville Gym,Lady Vivian - Mauville Gym,Wigglytuff,Thunder Wave,Headbutt,Water Pulse,Thunderbolt,Pikachu,Thunderbolt,Seismic Toss,Surf,Quick Attack,Shuppet,Thunder Wave,Shadow Ball,Night Shade,Double-Edge,Togetic,Thunder Wave,Softboiled,Seismic Toss,Water Pulse,Flaaffy,Thunder Wave,Thunderbolt,Seismic Toss,Fire Punch,,,,,,FALSE,Leftovers,Naughty,31,25,Light Ball,Jolly,31,27,Sitrus Berry,Jolly,31,26,Leftovers,Relaxed,31,25,Lum Berry,Rash,31,27,,,,
Guitarist Kirk,FALSE,Mauville Gym,Guitarist Kirk - Mauville Gym,Voltorb,Thunder Wave,Thunderbolt,Explosion,Sonicboom,Loudred,Hyper Voice,Ice Beam,Water Pulse,Flamethrower,Elekid,Seismic Toss,Thunderbolt,Ice Punch,Fire Punch,Golbat,Confuse Ray,Giga Drain,Sludge Bomb,Heat Wave,Ludicolo,Water Pulse,Thunderpunch,Razor Leaf,Teeter Dance,,,,,,FALSE,Lum Berry,Bold,31,27,Lum Berry,Hardy,31,26,Lum Berry,Naughty,31,27,Lum Berry,Hardy,31,26,Magnet,Relaxed,31,25,,,,
Fisherman Ben,FALSE,Mauville Gym,Fisherman Ben - Mauville Gym,Staryu,Thunder Wave,Thunderbolt,Waterfall,Ice Beam,Chinchou,Thunder Wave,Ice Beam,Thunderbolt,Surf,Dragonair,Thunder Wave,Dragonbreath,Water Pulse,Shock Wave,Qwilfish,Thunder Wave,Waterfall,Acid,Headbutt,Octillery,Thunder Wave,Water Pulse,Signal Beam,Mud Shot,,,,,,FALSE,Lum Berry,Bold,31,27,Lum Berry,Hardy,31,27,Magnet,Impish,31,26,Poison Barb,Adamant,31,26,Soft Sand,Timid,31,26,,,,
Bug Maniac Angelo,FALSE,Mauville Gym,Bug Maniac Angelo - Mauville Gym,Plusle,Thunder,Thunderbolt,Seismic Toss,Signal Beam,Minun,Thunderbolt,Thunder Wave,Reflect,Rain Dance,Volbeat,Thunder Wave,Signal Beam,Giga Drain,Confuse Ray,Illumise,Thunder Wave,Giga Drain,Flatter,Water Pulse,Dunsparce,Thunder Wave,Headbutt,Rock Slide,Bite,,,,,,TRUE,Silverpowder,Naughty,31,27,Lum Berry,Bold,31,27,Lum Berry,Hardy,31,27,Lum Berry,Sassy,31,27,Blackglasses,Quiet,31,26,,,,
Collector Shawn,FALSE,Mauville Gym,Collector Shawn - Mauville Gym,Koffing,Thunderbolt,Sludge Bomb,Flamethrower,Selfdestruct,Electrode,Thunder Wave,Sonicboom,Wild Charge,Selfdestruct,Porygon,Thunder Wave,Ice Beam,Thunderbolt,Recover,Kadabra,Thunder Wave,Psybeam,Thunderpunch,Seismic Toss,Magneton,Thunder Wave,Sonicboom,Flash Cannon,Wild Charge,,,,,,FALSE,Chesto Berry,Lonely,31,27,Liechi Berry,Hardy,31,27,Lum Berry,Naughty,31,27,Magnet,Naive,31,26,Metal Coat,Gentle,31,27,,,,
Leader Wattson,FALSE,Mauville Gym,Leader Wattson - Mauville Gym,Jolteon,Thunder Wave,HP Grass,Thunderbolt,Bite,Lanturn,Thunder Wave,Ice Beam,Surf,Thunderbolt,Ampharos,Thunder Wave,Fire Punch,Thunderbolt,HP Grass,Raichu,Thunder Wave,Thunderbolt,Surf,Body Slam,Electabuzz,Psychic,Thunderbolt,Fire Punch,Ice Punch,Manectric,Thunderbolt,Flamethrower,Crunch,Thunder Wave,FALSE,Lum Berry,Adamant,31,28,Leftovers,Hardy,31,28,Leftovers,Relaxed,31,29,Lum Berry,Sassy,31,28,Lum Berry,Quiet,31,28,Lum Berry,Hasty,31,29
Hiker Mike,FALSE,Rusturf Tunnel,Hiker Mike - Rusturf Tunnel,Golbat,Confuse Ray,Aerial Ace,Sludge Bomb,Super Fang,Graveler,Rock Slide,Earthquake,Selfdestruct,Secret Power,Clefairy,Tri Attack,Ice Beam,Flamethrower,Thunderbolt,,,,,,,,,,,,,,,,FALSE,Cheri Berry,Mild,31,23,Lum Berry,Naive,31,25,Sitrus Berry,Impish,31,24,,,,,,,,,,,,
Winstrate Victor,FALSE,The Winstrates,Winstrate Victor - The Winstrates,Linoone,Facade,Thunderbolt,Surf,HP Fire,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Calm,31,25,,,,,,,,,,,,,,,,,,,,
Winstrate Victoria,FALSE,The Winstrates,Winstrate Victoria - The Winstrates,Roselia,Stun Spore,Magical Leaf,Sludge Bomb,Attract,Swellow,Attract,Aerial Ace,Facade,Steel Wing,,,,,,,,,,,,,,,,,,,,,FALSE,Sitrus Berry,Mild,31,26,White Herb,Quiet,31,25,,,,,,,,,,,,,,,,
Winstrate Vivi,FALSE,The Winstrates,Winstrate Vivi - The Winstrates,Azumarill,Bubblebeam,Secret Power,Ice Punch,Seismic Toss,Wigglytuff,Secret Power,Seismic Toss,Water Pulse,Sing,,,,,,,,,,,,,,,,,,,,,FALSE,Cheri Berry,Adamant,31,26,Chesto Berry,Modest,31,26,,,,,,,,,,,,,,,,
Winstrate Vicky,FALSE,The Winstrates,Winstrate Vicky - The Winstrates,Kadabra,Psychic,Fire Punch,Thunderpunch,Ice Punch,Meditite,Fake Out,Brick Break,Shadow Ball,Rock Slide,Camerupt,Earthquake,Flamethrower,Rock Slide,Body Slam,,,,,,,,,,,,,,,,FALSE,Lum Berry,Timid,31,26,Lum Berry,Careful,31,27,Leftovers,Impish,31,27,,,,,,,,,,,,
Picnicker Bianca  + Kindler Hayden,TRUE,The Winstrates,Picnicker Bianca  + Kindler Hayden - The Winstrates,Ivysaur,Sleep Powder,Giga Drain,Sludge Bomb,,Wartortle,Water Pulse,Ice Punch,Secret Power,,,,,,,Charmeleon,Dragon Rage,Flamethrower,Secret Power,Protect,,,,,,,,,,,TRUE,,Careful,31,24,,Timid,31,24,,,,,Lum Berry,Careful,31,25,,,,,,,,
Interviewers Gabby & Ty,FALSE,The Winstrates,Interviewers Gabby & Ty - The Winstrates,Magneton,Wild Charge,Protect,Flash Cannon,Signal Beam,Loudred,Hyper Voice,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Metal Coat,Naive,31,27,Choice Band,Hardy,31,27,,,,,,,,,,,,,,,,
Camper Tyron  + Aroma Lady Celina,TRUE,The Winstrates,Camper Tyron  + Aroma Lady Celina - The Winstrates,Poliwhirl,Hypnosis,Blizzard,Protect,Hydro Pump,,,,,,,,,,,Skiploom,Sweet Scent,Sleep Powder,Aerial Ace,,Butterfree,Sweet Scent,Sleep Powder,Supersonic,,Gloom,Sweet Scent,Sleep Powder,Sludge Bomb,,TRUE,Nevermeltice,Rash,31,27,,,,,,,,,,Hardy,31,25,,Impish,31,25,,Calm,31,26
Picnicker Irene  + Camper Travis,TRUE,The Winstrates,Picnicker Irene  + Camper Travis - The Winstrates,Bayleef,Light Screen,Reflect,Giga Drain,Protect,Quilava,Flame Wheel,Quick Attack,Protect,Secret Power,Croconaw,Water Pulse,Aerial Ace,Protect,Crunch,Vigoroth,Uproar,,,,,,,,,,,,,,TRUE,Leftovers,Naughty,31,25,Silk Scarf,Hardy,31,25,Mystic Water,Mild,31,25,Choice Band,Adamant,31,26,,,,,,,,
Team Magma Grunt #1,FALSE,Route 112 (South),Team Magma Grunt #1 - Route 112 (South),Haunter,Hypnosis,Shadow Ball,Giga Drain,Thunderbolt,Flareon,Will-O-Wisp,Flamethrower,Quick Attack,Shadow Ball,Kadabra,Fire Punch,Signal Beam,Extrasensory,Ice Punch,Cacturne,Magical Leaf,Faint Attack,Revenge,Sleep Talk,,,,,,,,,,,FALSE,Scope Lens,Naive,31,26,Scope Lens,Hardy,31,27,Scope Lens,Hardy,31,26,Scope Lens,Timid,31,27,,,,,,,,
Team Magma Grunt #2,FALSE,Route 112 (South),Team Magma Grunt #2 - Route 112 (South),Dugtrio,Aerial Ace,Dig,Rock Tomb,Tri Attack,Magneton,Thunderbolt,Selfdestruct,Flash Cannon,Thunder Wave,Absol,Bite,Aerial Ace,Will-O-Wisp,Quick Attack,Ninetales,Will-O-Wisp,Bite,Extrasensory,Confuse Ray,,,,,,,,,,,FALSE,King'S Rock,Hardy,31,26,Scope Lens,Adamant,31,26,Brightpowder,Hardy,31,27,,Timid,31,27,,,,,,,,
Hiker Trent,FALSE,Route 112 (South),Hiker Trent - Route 112 (South),Graveler,Earthquake,Rock Slide,Double-Edge,,Furret,Shadow Ball,Secret Power,Super Fang,Brick Break,Machoke,Vital Throw,Rock Slide,Secret Power,Facade,Onix,Rock Slide,Earthquake,Double-Edge,Explosion,,,,,,,,,,,FALSE,Focus Band,Lax,31,28,Silk Scarf,Hardy,31,26,Chesto Berry,Modest,31,28,Focus Band,Hardy,31,29,,,,,,,,
Team Magma Grunt #3,FALSE,Route 112 (South),Team Magma Grunt #3 - Route 112 (South),Golbat,Hypnosis,Heat Wave,Giga Drain,Shadow Ball,Shelgon,Dragonbreath,Flamethrower,Dragon Rage,Body Slam,Mightyena,Shadow Ball,Iron Tail,Poison Fang,Super Fang,Metang,Psychic,Metal Claw,Rock Tomb,Brick Break,Pupitar,Earthquake,Rock Slide,,,,,,,,FALSE,Scope Lens,Lax,31,27,Shell Bell,Hasty,31,27,Shell Bell,Brave,31,27,Scope Lens,Hardy,31,27,Choice Band,Gentle,31,29,,,,
Team Magma Grunt #4,FALSE,Route 112 (North),Team Magma Grunt #4 - Route 112 (North),Magmar,Fire Punch,Brick Break,Will-O-Wisp,Secret Power,Ariados,Signal Beam,Sludge Bomb,Giga Drain,Shadow Sneak,Hariyama,Fake Out,Force Palm,Rock Slide,Body Slam,Smeargle,Sacred Fire,Aeroblast,Extremespeed,Muddy Water,,,,,,,,,,,FALSE,Scope Lens,Timid,31,29,Lum Berry,Lax,31,28,Scope Lens,Adamant,31,27,Sitrus Berry,Gentle,31,30,,,,,,,,
Team Magma Grunt #5,FALSE,Route 112 (North),Team Magma Grunt #5 - Route 112 (North),Venomoth,Stun Spore,Signal Beam,Psychic,Giga Drain,Magcargo,Explosion,Overheat,Rock Slide,Earthquake,Vibrava,Mud Shot,Dragonbreath,Giga Drain,Signal Beam,Dunsparce,Glare,Headbutt,Rock Slide,Bite,Arbok,Glare,Sludge Bomb,Earthquake,Giga Drain,,,,,,FALSE,Lum Berry,Bold,31,27,Quick Claw,Impish,31,30,King'S Rock,Bold,31,29,Leftovers,Modest,31,27,King'S Rock,Hardy,31,27,,,,
Cooltrainer Wilton,FALSE,Route 111,Cooltrainer Wilton - Route 111,Forretress,Spikes,Signal Beam,Flash Cannon,Protect,Gyarados,Dragon Rage,Bounce,Waterfall,Protect,Porygon2,Conversion,Tri Attack,Shadow Ball,Recover,,,,,,,,,,,,,,,,FALSE,Lum Berry,Impish,31,31,Lum Berry,Bold,31,30,Leftovers,Lax,31,30,,,,,,,,,,,,
Ruin Maniac Bryan,FALSE,Route 111,Ruin Maniac Bryan - Route 111,Omanyte,Rain Dance,Hydro Pump,Ice Beam,Ancientpower,Lileep,Rain Dance,Protect,Leech Seed,Sludge Bomb,Duskull,Will-O-Wisp,Night Shade,Protect,Pain Split,,,,,,,,,,,,,,,,FALSE,Lum Berry,Gentle,31,30,Leftovers,Hasty,31,30,Leftovers,Jolly,31,30,,,,,,,,,,,,
Black Belt Daisuke  + Cooltrainer Brooke,TRUE,Route 111,Black Belt Daisuke  + Cooltrainer Brooke - Route 111,Hitmontop,Fake Out,Mach Punch,Detect,Rock Tomb,Hitmonchan,Mach Punch,Brick Break,Rock Tomb,Shadow Punch,Hitmonlee,Fake Out,Hi Jump Kick,Mega Kick,Detect,Skarmory,Spikes,Drill Peck,Flash Cannon,Whirlwind,Miltank,Attract,Milk Drink,Body Slam,Brick Break,Quagsire,Mud Shot,Muddy Water,Sludge Bomb,Protect,TRUE,Hard Stone,Quiet,18,29,Spell Tag,Naive,18,29,Silk Scarf,Gentle,18,29,Leftovers,Timid,31,30,Lum Berry,Rash,31,30,Leftovers,Gentle,31,30
Pokémaniac Wyatt,FALSE,Route 113,Pokémaniac Wyatt - Route 113,Lairon,Iron Tail,Double-Edge,Rock Slide,Earthquake,Grovyle,Giga Drain,Crunch,Dragonbreath,Quick Attack,Lickitung,Flamethrower,Ice Beam,Thunderbolt,Body Slam,,,,,,,,,,,,,,,,FALSE,Metal Coat,Timid,31,32,Dragon Fang,Timid,31,33,Chesto Berry,Naughty,31,32,,,,,,,,,,,,
Dragon Tamer Lawrence,FALSE,Route 113,Dragon Tamer Lawrence - Route 113,Vibrava,Quick Attack,Mud Shot,Dragonbreath,Giga Drain,Shelgon,Double-Edge,Dragon Claw,Dragon Rage,Crunch,Dragonair,Thunder Wave,Secret Power,Dragonbreath,Dragon Rage,,,,,,,,,,,,,,,,FALSE,Dragon Fang,Hardy,31,32,Dragon Fang,Hardy,31,32,Dragon Fang,Careful,31,32,,,,,,,,,,,,
Ninja Boy Lung,FALSE,Route 113,Ninja Boy Lung - Route 113,Ninjask,Aerial Ace,Swords Dance,Baton Pass,Silver Wind,Koffing,Explosion,Sludge Bomb,Shadow Ball,Secret Power,Kecleon,Flamethrower,Shadow Ball,Secret Power,Ice Punch,Venomoth,Sleep Powder,Sludge Bomb,Signal Beam,Steel Wing,,,,,,,,,,,FALSE,Lum Berry,Naughty,31,32,Lum Berry,Hardy,31,34,Leftovers,Brave,31,32,Lum Berry,Modest,31,33,,,,,,,,
Youngster Dillon,FALSE,Route 113,Youngster Dillon - Route 113,Raticate,Quick Attack,Crunch,Secret Power,Super Fang,Spinda,Teeter Dance,Secret Power,Psychic,Brick Break,Azumarill,Water Pulse,Body Slam,Ice Punch,Brick Break,,,,,,,,,,,,,,,,FALSE,Silk Scarf,Hardy,31,33,Twistedspoon,Lax,31,34,Mystic Water,Careful,31,31,,,,,,,,,,,,
Twins Tori & Tia,FALSE,Route 113,Twins Tori & Tia - Route 113,Smeargle,Teeter Dance,Dragon Rage,Extremespeed,Nightmare,Smeargle,Spore,Super Fang,Dragon Rage,Aeroblast,,,,,,,,,,,,,,,,,,,,,TRUE,Sharp Beak,Calm,31,35,Lum Berry,Hardy,31,35,,,,,,,,,,,,,,,,
Picnicker Sophie,FALSE,Route 113,Picnicker Sophie - Route 113,Slaking,Solarbeam,,,,Drowzee,Hypnosis,Psychic,Signal Beam,Fire Punch,Parasect,Spore,Signal Beam,Giga Drain,Brick Break,,,,,,,,,,,,,,,,FALSE,Leppa Berry,Careful,31,36,Silverpowder,Naive,31,34,Focus Band,Hardy,31,35,,,,,,,,,,,,
Bird Keeper Coby,FALSE,Route 113,Bird Keeper Coby - Route 113,Fearow,Aerial Ace,Steel Wing,Quick Attack,Secret Power,Noctowl,Hypnosis,Psychic,Faint Attack,Light Screen,Pidgeot,Quick Attack,Air Slash,Steel Wing,Secret Power,,,,,,,,,,,,,,,,FALSE,Silk Scarf,Hardy,31,33,Leftovers,Relaxed,31,34,Silk Scarf,Lax,31,34,,,,,,,,,,,,
Parasol Lady Madeline,FALSE,Route 113,Parasol Lady Madeline - Route 113,Numel,Earthquake,Flamethrower,Protect,Body Slam,Seaking,Rain Dance,Waterfall,Ice Beam,Secret Power,Tropius,Earthquake,Sunny Day,Giga Drain,Air Slash,,,,,,,,,,,,,,,,FALSE,Soft Sand,Gentle,31,36,Cheri Berry,Timid,31,34,Lum Berry,Hasty,31,33,,,,,,,,,,,,
Ninja Boy Lao,FALSE,Route 113,Ninja Boy Lao - Route 113,Shedinja,Shadow Sneak,Signal Beam,Giga Drain,Toxic,Shuckle,Toxic,Protect,Wrap,Rest,Golbat,Confuse Ray,Protect,Toxic,Shadow Ball,,,,,,,,,,,,,,,,FALSE,Lum Berry,Hardy,31,36,Leftovers,Brave,31,33,Lum Berry,Hardy,31,34,,,,,,,,,,,,
Pkmn Trainer Red,FALSE,Route 113,Pkmn Trainer Red - Route 113,Pikachu,Volt Tackle,Surf,HP Ice,Sing,Espeon,Reflect,Psychic,Bite,Signal Beam,Snorlax,Curse,Snore,Earthquake,Rest,Blastoise,Surf,Yawn,Ice Beam,Mirror Coat,Venusaur,Sleep Powder,Giga Drain,Sludge Bomb,Synthesis,Charizard,Flamethrower,Aerial Ace,Dragon Claw,Earthquake,FALSE,Light Ball,Sassy,31,37,Lum Berry,Sassy,31,36,Leftovers,Hardy,31,36,Lum Berry,Adamant,31,36,Lum Berry,Quiet,31,36,Lum Berry,Hardy,31,36
Pokémaniac Steve,FALSE,Route 114,Pokémaniac Steve - Route 114,Rhydon,Drill Run,Double-Edge,Rock Slide,Body Slam,Kangaskhan,Fake Out,Brick Break,Secret Power,Shadow Ball,Nidoqueen,Drill Run,Poison Fang,Crunch,Surf,,,,,,,,,,,,,,,,FALSE,Focus Band,Quiet,31,36,,Bold,24,34,Blackglasses,Naughty,31,35,,,,,,,,,,,,
Sr. and Jr. Tyra & Ivy,FALSE,Route 114,Sr. and Jr. Tyra & Ivy - Route 114,Swellow,Toxic,Facade,Steel Wing,Aerial Ace,Linoone,Facade,Toxic,Shadow Ball,Iron Tail,,,,,,,,,,,,,,,,,,,,,TRUE,Leftovers,Gentle,31,35,Leftovers,Naive,31,35,,,,,,,,,,,,,,,,
Kindler Bernie,FALSE,Route 114,Kindler Bernie - Route 114,Shiftry,Giga Drain,Faint Attack,Fake Out,Brick Break,Flareon,Flamethrower,Quick Attack,Shadow Ball,Iron Tail,Pelipper,Air Slash,Surf,Shock Wave,Quick Attack,,,,,,,,,,,,,,,,FALSE,Blackglasses,Quiet,24,33,Shell Bell,Rash,31,35,Magnet,Hardy,31,34,,,,,,,,,,,,
Team Magma Grunt #1,FALSE,Route 114,Team Magma Grunt #1 - Route 114,Weezing,Sludge Bomb,Will-O-Wisp,Shadow Ball,Flamethrower,Magneton,Explosion,Thunderbolt,Thunder Wave,Signal Beam,Rapidash,Flamethrower,Megahorn,Drill Run,Quick Attack,Bellossom,Sleep Powder,Giga Drain,Synthesis,Double-Edge,,,,,,,,,,,FALSE,Leftovers,Lonely,31,35,Focus Band,Careful,31,36,King'S Rock,Quiet,31,36,Leftovers,Hardy,31,35,,,,,,,,
Team Magma Grunt #2,FALSE,Route 114,Team Magma Grunt #2 - Route 114,Exploud,Hyper Voice,Flamethrower,Extrasensory,Earthquake,Marowak,Earthquake,Double-Edge,Ancientpower,Aerial Ace,Altaria,Rest,Flamethrower,Ice Beam,Dragon Claw,Vileplume,Stun Spore,Sludge Bomb,Moonlight,Giga Drain,,,,,,,,,,,FALSE,Scope Lens,Hardy,31,35,Lum Berry,Jolly,31,36,Leftovers,Relaxed,31,35,King'S Rock,Lonely,31,35,,,,,,,,
Team Magma Grunt #3,FALSE,Route 114,Team Magma Grunt #3 - Route 114,Wobbuffet,Counter,Mirror Coat,Encore,,Camerupt,Earthquake,Flamethrower,Rock Slide,Body Slam,Venusaur,Sleep Powder,Giga Drain,Sludge Bomb,Earthquake,Dodrio,Steel Wing,Drill Peck,Quick Attack,Body Slam,,,,,,,,,,,FALSE,Leftovers,Modest,31,34,Quick Claw,Timid,31,36,Shell Bell,Hardy,31,34,Silk Scarf,Calm,31,34,,,,,,,,
Team Magma Grunt #4,FALSE,Route 114,Team Magma Grunt #4 - Route 114,Vibrava,Earthquake,Signal Beam,Giga Drain,Rock Slide,Ninjask,Signal Beam,Steel Wing,Air Slash,Substitute,Torkoal,Overheat,Earthquake,Body Slam,Rock Slide,Metang,Earthquake,Ice Punch,Explosion,Rock Slide,Golem,Earthquake,Double-Edge,Ancientpower,Explosion,,,,,,FALSE,Lum Berry,Impish,31,34,Leftovers,Careful,31,34,Quick Claw,Sassy,31,35,Lum Berry,Jolly,31,35,Quick Claw,Modest,31,36,,,,
Team Magma Grunt #5,FALSE,Route 114,Team Magma Grunt #5 - Route 114,Sandslash,Earthquake,Rock Slide,X-Scissors,Crush Claw,Breloom,Spore,Brick Break,Giga Drain,Mach Punch,Zangoose,Swords Dance,Quick Attack,Crush Claw,Brick Break,Shelgon,Double-Edge,Brick Break,Dragon Dance,Rock Slide,,,,,,,,,,,FALSE,Scope Lens,Sassy,31,35,Shell Bell,Hardy,31,34,Scope Lens,Hardy,31,35,Lum Berry,Lonely,31,36,,,,,,,,
